exercise_nm,muscles_nm
Жим лежа,Грудь
Разгибания на блоке на трицепс,Трицепс
Подьем штанги стоя на бицепс,Бицепс
Подьем штанги сидя на скамье Скотта,Бицепс
Французский жим лежа на трицепс,Трицепс
Жим лежа с акцентом на трипес,Трицепс
Подьем на блоке на бицепс,Бицепс
Подьем гантелей на бицепс,Бицепс
Жим гантелей сидя,Грудь
Жим гантелей стоя,Грудь
Широкие подтягивания,Грудь
Подтягивания обратным хватом,Бицепс
Разведение гантелей на грудь,Грудь
Подьем ног на турнике,Пресс
Подьем ног на брусьях,Пресс
Подьем ног лежа,Пресс
Скручивания,Пресс
Присед,Квадрицепс бедра
Выпады,Квадрицепс бедра
Сгибание ног на тренажере,Икры
Жим платформы ногами на тренажере,Квадрицепс бедра
Махи с гантелями в стороны,Плечи
Становая тяга,Спина
Гиперекстензия,Спина
